시명,구명,읍면동명,선거인수,투표수,더불어민주당  문재인,자유한국당  홍준표,국민의당  안철수,바른정당  유승민,정의당  심상정,새누리당  조원진,경제애국당  오영국,국민대통합당  장성민,늘푸른한국당  이재오,민중연합당  김선동,한국국민당  이경희,홍익당  윤홍식,무소속  김민찬,유효표 수,무효표 수,기권 수
부산광역시,기장군,기장읍,41518,29183,10810,9652,5046,1949,1464,34,5,21,8,14,8,21,33,29065,118,12335
부산광역시,북구,금곡동,32894,25662,10220,8110,4227,1757,1084,35,4,23,8,11,9,18,42,25548,114,7232
부산광역시,기장군,정관읍,48977,37881,18278,7911,6538,2884,2074,44,3,18,3,15,5,13,30,37816,65,11096
부산광역시,남구,용호제1동,29484,22835,8104,7771,4204,1705,917,29,2,4,6,3,1,6,20,22772,63,6649
부산광역시,연제구,연산제9동,28981,22491,8462,7195,3886,1721,1090,23,2,4,5,16,1,8,19,22432,59,6490
부산광역시,북구,화명제1동,31764,26361,11547,7135,4287,2065,1193,25,2,8,5,6,3,10,15,26301,60,5403
부산광역시,동래구,온천제3동,27037,20264,7317,7058,3318,1478,936,23,3,9,2,14,1,9,20,20188,76,6773
부산광역시,금정구,구서제2동,26456,21359,7956,7029,3562,1677,1007,25,0,8,2,6,3,12,11,21298,61,5097
부산광역시,금정구,남산동,25299,18868,6409,6837,3042,1470,933,17,0,14,8,21,2,5,14,18772,96,6431
부산광역시,사하구,다대제1동,31548,23017,9077,6743,4249,1687,1072,22,3,19,6,9,8,11,19,22925,92,8531
부산광역시,해운대구,반여제1동,27796,22106,9008,6390,3825,1658,1095,18,2,3,4,6,7,7,19,22042,64,5690
부산광역시,강서구,명지동,35831,29125,14276,6378,4679,2333,1344,21,1,8,5,4,6,8,13,29076,49,6706
부산광역시,동래구,안락제2동,23599,18603,6957,6066,3229,1337,903,22,1,4,0,4,6,3,8,18540,63,4996
부산광역시,수영구,망미제1동,21112,15913,5344,6048,2679,1055,689,16,1,7,1,6,3,4,10,15863,50,5199
부산광역시,동래구,수민동,23242,18132,6604,6044,3178,1351,828,33,0,12,3,6,3,10,12,18084,48,5110
부산광역시,해운대구,우제3동,20531,16104,5039,5998,3204,1317,473,24,0,0,3,15,0,5,4,16082,22,4427
부산광역시,부산진구,개금제3동,23991,18726,7401,5913,3084,1329,864,38,0,13,7,8,4,5,13,18679,47,5265
부산광역시,사상구,모라제1동,23193,17302,6786,5863,2565,1137,798,11,1,13,8,10,5,5,18,17220,82,5891
부산광역시,해운대구,반송제2동,22316,15679,5135,5862,2795,1033,696,19,2,20,9,10,5,5,12,15603,76,6637
부산광역시,사상구,학장동,24819,18922,7909,5812,2958,1225,862,23,0,19,5,13,3,5,20,18854,68,5897
부산광역시,사하구,당리동,22848,17564,6858,5727,2900,1122,829,28,0,12,2,5,1,5,15,17504,60,5284
부산광역시,해운대구,재송제1동,25587,19925,8025,5659,3691,1631,815,33,3,7,0,4,3,5,8,19884,41,5662
부산광역시,부산진구,초읍동,18190,13546,4416,5620,2051,813,549,17,0,8,1,10,1,3,11,13500,46,4644
부산광역시,해운대구,우제2동,21711,17274,6277,5498,3255,1439,696,36,0,5,3,5,1,10,7,17232,42,4437
부산광역시,사하구,다대제2동,23507,17663,6835,5477,3099,1227,860,25,2,14,9,5,8,6,16,17583,80,5844
부산광역시,북구,만덕제2동,22838,17742,7314,5382,2831,1242,857,21,3,11,0,3,1,3,14,17682,60,5096
부산광역시,해운대구,좌제2동,24961,19538,7955,5233,3664,1661,923,17,2,7,0,3,3,11,4,19483,55,5423
부산광역시,사상구,엄궁동,23737,18238,7868,5207,2842,1255,937,12,2,12,3,10,5,5,16,18174,64,5499
부산광역시,북구,구포제2동,21729,15711,6161,5202,2442,1022,731,11,4,11,3,3,4,10,23,15627,84,6018
부산광역시,해운대구,재송제2동,22518,16042,6061,5176,2758,1120,821,24,1,7,1,6,4,1,17,15997,45,6476
부산광역시,북구,화명제3동,23160,19751,8824,5139,3268,1512,899,19,1,7,5,9,2,5,10,19700,51,3409
부산광역시,남구,대연제3동,25399,19857,8398,5128,3373,1741,1089,26,1,8,3,7,1,7,13,19795,62,5542
부산광역시,부산진구,당감제1동,20554,15571,6124,5123,2572,963,680,16,1,9,1,4,1,6,14,15514,57,4983
부산광역시,영도구,동삼제1동,23233,16267,6446,5070,2747,1138,731,30,0,7,4,9,4,8,15,16209,58,6966
부산광역시,수영구,민락동,19083,13964,4877,5044,2421,928,612,20,0,9,1,1,3,7,9,13932,32,5119
부산광역시,연제구,거제제1동,20337,16718,6698,5015,2974,1206,746,17,0,1,2,2,0,3,5,16669,49,3619
부산광역시,부산진구,연지동,17792,13923,5137,4934,2236,941,580,19,1,6,2,3,2,6,8,13875,48,3869
부산광역시,수영구,광안제1동,20272,15158,5822,4746,2601,1050,836,21,1,10,3,2,2,5,12,15111,47,5114
부산광역시,부산진구,전포제2동,18217,13399,5044,4602,2129,909,615,10,4,10,0,10,2,8,6,13349,50,4818
부산광역시,사하구,장림제2동,21022,15173,5846,4591,2776,1073,742,24,1,10,3,4,6,1,20,15097,76,5849
부산광역시,동래구,사직제2동,20841,17225,7494,4546,2950,1351,816,6,0,3,2,4,0,2,11,17185,40,3616
부산광역시,사하구,괴정제1동,16918,12699,4609,4501,2123,836,547,11,0,6,1,4,3,2,9,12652,47,4219
부산광역시,부산진구,양정제1동,17046,13463,5120,4451,2195,926,664,16,1,10,3,4,2,6,12,13410,53,3583
부산광역시,해운대구,우제1동,17252,12238,4178,4390,2207,839,530,20,1,10,1,3,4,9,13,12205,33,5014
부산광역시,사상구,주례제2동,19022,14231,5866,4351,2186,987,739,11,0,9,0,8,4,3,15,14179,52,4791
부산광역시,사하구,감천제1동,17454,12479,4431,4334,2199,841,566,2,1,15,4,7,4,6,13,12423,56,4975
부산광역시,동래구,온천제1동,16475,11360,3852,4330,1853,751,504,12,2,8,1,3,1,3,8,11328,32,5115
부산광역시,부산진구,가야제1동,17653,12425,4558,4248,2104,808,590,14,1,5,3,5,4,5,17,12362,63,5228
부산광역시,사하구,하단제2동,19844,14806,6097,4247,2535,1079,752,16,1,8,2,2,2,3,10,14754,52,5038
부산광역시,사하구,하단제1동,18281,14012,5636,4195,2323,1038,716,9,1,4,6,4,3,6,11,13952,60,4269
부산광역시,동래구,온천제2동,13836,10794,3549,4187,1766,755,459,13,2,5,2,6,1,5,10,10760,34,3042
부산광역시,북구,구포제3동,18432,12680,4884,4177,2032,803,681,15,2,7,4,5,0,6,17,12633,47,5752
부산광역시,북구,만덕제3동,16189,12876,5070,4169,2083,934,555,12,0,4,1,2,1,1,6,12838,38,3313
부산광역시,남구,대연제1동,16994,12318,4403,4158,2075,906,666,21,3,10,0,4,0,5,15,12266,52,4676
부산광역시,해운대구,중제1동,17547,12885,4887,4134,2230,983,573,23,0,5,1,1,2,1,6,12846,39,4662
부산광역시,부산진구,범천제2동,16909,11989,4123,4115,2421,744,498,12,1,9,3,5,3,3,11,11948,41,4920
부산광역시,부산진구,부암제1동,16657,12166,4723,4081,1995,796,486,18,1,3,0,5,3,9,6,12126,40,4491
부산광역시,수영구,수영동,13385,10070,3349,4029,1594,638,389,19,0,9,1,3,1,5,12,10049,21,3315
부산광역시,부산진구,가야제2동,14527,11116,3987,4023,1799,754,475,5,0,10,2,9,0,8,12,11084,32,3411
부산광역시,동래구,명륜동,16651,13441,5515,3998,2231,1046,585,10,0,5,1,2,2,8,9,13412,29,3210
부산광역시,사상구,괘법동,17811,12368,5074,3962,1854,819,562,8,3,6,2,7,4,4,15,12320,48,5443
부산광역시,해운대구,좌제4동,18590,15482,6569,3938,2808,1341,745,20,1,5,1,2,0,6,10,15446,36,3108
부산광역시,연제구,연산제4동,14414,10566,3689,3909,1772,675,457,7,1,6,0,3,1,1,7,10528,38,3848
부산광역시,남구,우암동,14122,10544,3756,3892,1729,648,409,15,4,7,2,8,4,7,15,10496,48,3578
부산광역시,동래구,안락제1동,13234,10067,3397,3852,1657,655,426,11,0,8,2,6,1,3,11,10029,38,3167
부산광역시,남구,용호제2동,14324,10813,3749,3848,1958,743,455,11,1,3,0,3,2,5,3,10781,32,3511
부산광역시,금정구,구서제1동,15437,12379,4775,3847,2086,1012,577,9,0,6,1,3,1,4,12,12333,46,3058
부산광역시,부산진구,부암제3동,16536,12631,5186,3836,2121,843,546,18,3,9,1,12,4,7,8,12594,37,3905
부산광역시,해운대구,반송제1동,14333,9556,3166,3720,1605,521,420,23,3,9,4,5,3,6,13,9498,58,4777
부산광역시,강서구,녹산동,20166,14119,6245,3697,2362,983,722,15,3,8,5,8,5,8,15,14076,43,6047
부산광역시,남구,용호제3동,12986,10197,3692,3578,1749,634,459,12,2,8,4,5,1,6,5,10155,42,2789
부산광역시,사하구,신평제1동,15216,10573,3908,3566,1845,695,473,6,1,6,8,3,2,8,17,10538,35,4643
부산광역시,영도구,청학제2동,15879,11198,4418,3563,1866,776,499,11,1,8,4,5,0,3,9,11163,35,4681
부산광역시,금정구,부곡제3동,13934,11191,4207,3522,1820,993,565,15,0,7,2,2,0,6,12,11151,40,2743
부산광역시,수영구,광안제2동,14643,10843,4000,3498,1931,787,553,12,2,6,5,1,1,6,7,10809,34,3800
부산광역시,북구,덕천제1동,12997,9466,3362,3447,1535,563,457,8,1,5,4,7,1,8,14,9412,54,3531
부산광역시,금정구,부곡제2동,13679,10838,4018,3436,1881,904,503,11,0,7,2,12,4,7,10,10795,43,2841
부산광역시,연제구,연산제6동,12507,8891,3016,3397,1514,523,370,10,1,5,3,6,3,4,5,8857,34,3616
부산광역시,북구,구포제1동,13239,9349,3417,3388,1450,572,418,7,1,6,1,9,3,4,20,9296,53,3890
부산광역시,연제구,연산제1동,12681,9861,3653,3372,1688,671,417,5,1,5,1,5,1,3,7,9829,32,2820
부산광역시,북구,화명제2동,14003,10927,4421,3346,1652,822,579,20,1,12,5,11,0,7,10,10886,41,3076
부산광역시,동래구,명장제2동,11789,8811,2917,3318,1445,617,445,4,1,5,2,3,7,2,13,8779,32,2978
부산광역시,동래구,사직제3동,12064,9188,3316,3307,1544,580,380,8,0,1,2,6,2,3,10,9159,29,2876
부산광역시,동래구,명장제1동,10857,7988,2560,3251,1224,508,380,9,1,9,2,4,0,5,9,7962,26,2869
부산광역시,사상구,감전동,12158,8181,2931,3238,1166,461,317,4,4,4,0,3,1,2,11,8142,39,3977
부산광역시,남구,감만제1동,12643,9302,3346,3222,1577,632,452,8,3,5,3,3,0,7,10,9268,34,3341
부산광역시,부산진구,부전제1동,11842,7818,2580,3199,1165,430,366,9,1,9,1,3,1,4,6,7774,44,4024
부산광역시,해운대구,좌제3동,13222,10752,4067,3175,2093,896,429,30,1,5,2,3,0,0,6,10707,45,2470
부산광역시,동래구,복산동,10328,7837,2458,3169,1297,503,344,9,3,5,2,3,2,3,14,7812,25,2491
부산광역시,동구,범일제1동,10706,7401,2301,3168,1225,388,256,13,2,5,2,1,4,4,8,7377,24,3305
부산광역시,남구,문현제1동,12390,9066,3336,3149,1475,605,405,16,1,18,0,8,4,3,9,9029,37,3324
부산광역시,금정구,부곡제4동,11261,8339,2830,3111,1366,601,353,9,0,5,1,5,1,3,6,8291,48,2922
부산광역시,사하구,괴정제2동,11973,8610,3015,3076,1463,580,409,7,1,1,2,5,5,2,5,8571,39,3363
부산광역시,서구,암남동,12858,8522,2885,3068,1556,550,364,14,1,5,2,2,7,7,11,8472,50,4336
부산광역시,부산진구,전포제1동,14034,9469,3501,3065,1559,700,565,13,0,6,0,4,2,4,7,9426,43,4565
부산광역시,사하구,괴정제3동,11629,8401,2997,3057,1339,528,379,11,2,9,5,5,3,10,10,8355,46,3228
부산광역시,연제구,연산제2동,11312,8619,3139,3055,1384,582,410,6,0,2,0,0,5,5,8,8596,23,2693
부산광역시,수영구,남천제1동,11504,8682,3049,3018,1506,644,410,17,1,0,1,3,3,4,0,8656,26,2822
부산광역시,남구,대연제5동,11297,8588,3113,3015,1425,591,380,14,1,5,2,3,1,1,9,8560,28,2709
부산광역시,해운대구,좌제1동,14614,11593,4732,3011,2066,1093,613,22,0,8,0,1,3,7,7,11563,30,3021
부산광역시,사상구,주례제1동,12168,9058,3635,3010,1334,600,414,9,1,3,0,3,4,7,11,9031,27,3110
부산광역시,사하구,괴정제4동,11126,8124,2816,3000,1357,517,368,14,0,7,5,1,0,4,3,8092,32,3002
부산광역시,금정구,서제3동,10150,7207,2228,2998,1117,492,309,8,3,4,1,3,1,5,5,7174,33,2943
부산광역시,수영구,남천제2동,10920,8544,2981,2983,1556,632,337,15,1,5,0,9,0,3,3,8525,19,2376
부산광역시,부산진구,양정제2동,12035,8328,3038,2964,1299,560,395,12,0,5,2,4,1,4,6,8290,38,3707
부산광역시,금정구,장전제1동,14041,11209,4628,2962,1662,1158,716,6,0,1,0,9,2,6,12,11162,47,2832
부산광역시,사상구,모라제3동,11137,7972,2984,2884,1278,476,259,9,3,12,4,2,3,3,7,7924,48,3165
부산광역시,사하구,신평제2동,12318,9439,3682,2874,1676,670,492,5,3,1,2,3,3,0,9,9420,19,2879
부산광역시,사상구,주례제3동,11580,8960,3582,2867,1396,612,429,7,0,6,2,2,3,0,6,8912,48,2620
부산광역시,해운대구,반여제4동,12046,9608,3819,2845,1649,715,499,18,1,5,1,2,2,5,13,9574,34,2438
부산광역시,해운대구,반여제2동,11932,7904,2707,2838,1420,501,360,14,3,0,3,6,3,8,6,7869,35,4028
부산광역시,해운대구,중제2동,12498,9022,3373,2815,1683,715,374,22,1,4,3,2,1,0,5,8998,24,3476
부산광역시,북구,덕천제2동,11240,8080,3095,2755,1205,530,436,6,1,6,2,5,3,4,6,8054,26,3160
부산광역시,부산진구,개금제1동,12216,8977,3553,2730,1448,668,503,8,0,5,2,4,1,6,6,8934,43,3239
부산광역시,동구,좌천동,9565,6942,2287,2699,1198,419,270,13,2,5,4,2,2,2,6,6909,33,2623
부산광역시,금정구,서제2동,9707,6735,2118,2696,1099,442,304,14,0,6,0,4,3,5,12,6703,32,2972
부산광역시,남구,문현제3동,10132,7839,2838,2685,1333,562,351,10,1,3,3,1,2,11,4,7804,35,2293
부산광역시,연제구,연산제8동,11450,8701,3386,2683,1499,615,447,15,1,8,1,2,1,6,10,8674,27,2749
부산광역시,영도구,남항동,9670,6538,2200,2662,1037,379,212,8,1,5,0,3,1,4,6,6518,20,3132
부산광역시,금정구,장전제2동,10972,8683,3505,2648,1450,670,352,11,2,4,3,4,3,4,3,8659,24,2289
부산광역시,사상구,덕포제2동,11156,8200,3315,2645,1295,533,341,7,0,10,0,1,3,6,6,8162,38,2956
부산광역시,남구,대연제4동,8913,6635,2298,2623,1053,372,229,4,1,4,2,3,3,8,8,6608,27,2278
부산광역시,금정구,청룡노포동,8449,6477,2097,2617,1021,452,244,4,0,7,1,3,2,4,4,6456,21,1972
부산광역시,연제구,연산제5동,11821,8406,3263,2616,1349,598,517,8,1,4,1,1,2,0,4,8364,42,3415
부산광역시,수영구,광안제4동,10372,7775,2849,2614,1303,545,409,11,0,8,1,0,0,4,5,7749,26,2597
